Name,Version,Type,Category,Severity,Role,Level,Role2,Level2
SystemCenter.2012.Orchestrator.RunbookService.Monitor,AvailabilityHealth,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
The_Active_Directory_database_is_corrupt_5_Rule,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.AD.DomainController.TimeSkew.Monitor,PerformanceHealth,Performance,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.LogicalDisk.PercentageFreeSpace,Custom,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.OperatingSystem.IPAddressConflict.Alert,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.OperatingSystem.MemoryAvailableMBytes,PerformanceHealth,Performance,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.OperatingSystem.MemoryAvailableMBytes.Collection,PerformanceCollection,Performance,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows.Server.2008.OperatingSystem.SoftwareUpdateInstallationFailed.Alert,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
Windows_Directory_Service__Active_Directory__cannot_be_initialized_5_Rule,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
CUSTOM4,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
CUSTOM3,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
CUSTOM2,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
CUSTOM1,EventCollection,Availability,Moderate/Limited,Medium,Service,Infrastructure,Service,Management
